Date,Total_Assets,Total_Liabilities,EBITDA,Stock,Debt_Equity_Ratio,Total_Assets_Billions,Total_Liabilities_Billions,EBITDA_Billions,Asset_Liability_Ratio,Total_Equity,ROA,Operating_Margin_Ratio
2021-03-31,738193000000.0,131251500000.0,196283400000.0,ITC.NS,0.0044936529099708,738.193,131.2515,196.2834,5.624263341752285,606941500000.0,0.2658971298833774,0.3152248052767553
2022-03-31,772595500000.0,144376800000.0,225122400000.0,ITC.NS,0.0039938791688235,772.5955,144.3768,225.1224,5.351244105701193,628218700000.0,0.29138456022588793,0.3144977077749238
2023-03-31,858829800000.0,163441900000.0,277673300000.0,ITC.NS,0.0044254045173136,858.8298,163.4419,277.6733,5.25464889970075,695387900000.0,0.32331586537868157,0.3401896954696704
2024-03-31,918261600000.0,169361900000.0,290022300000.0,ITC.NS,0.0040725032547277,918.2616,169.3619,290.0223,5.421890047289266,748899700000.0,0.31583842774215976,0.34726715265725944
2020-12-31,78997300000.0,58803900000.0,33473500000.0,NESTLEIND.NS,0.073038715619955,78.9973,58.8039,33.4735,1.3434023933786705,20193400000.0,0.4237296717735923,0.2131253498829209
2021-12-31,82341300000.0,62877500000.0,34500200000.0,NESTLEIND.NS,0.1369002969615388,82.3413,62.8775,34.5002,1.3095511112878215,19463800000.0,0.4189902272614107,0.2163553791706728
2022-12-31,89787400000.0,65195700000.0,38135500000.0,NESTLEIND.NS,0.1100045950462961,89.7874,65.1957,38.1355,1.3771981894511447,24591700000.0,0.424731086989934,0.19925155736938438
2021-03-31,164520000000.0,89500000000.0,19060000000.0,TITAN.NS,0.7521675336801387,164.52,89.5,19.06,1.8382122905027933,75020000000.0,0.11585217602723073,0.09839859298343052
2022-03-31,211940000000.0,118610000000.0,35210000000.0,TITAN.NS,0.7821132967859831,211.94,118.61,35.21,1.7868645139532924,93330000000.0,0.16613192412947062,0.10338947661469933
2023-03-31,270230000000.0,151190000000.0,51880000000.0,TITAN.NS,0.7903974348156274,270.23,151.19,51.88,1.7873536609564125,119040000000.0,0.19198460570625023,0.11076223205676565
2024-03-31,315500000000.0,221570000000.0,58260000000.0,TITAN.NS,1.653145959757266,315.5,221.57,58.26,1.4239292322967911,93930000000.0,0.18465927099841523,0.09272420292131305
2021-03-31,80087800000.0,44247800000.0,28177700000.0,BRITANNIA.NS,0.598002627083768,80.0878,44.2478,28.1777,1.8099837732045434,35840000000.0,0.3518351109657151,0.17941728039344754
2022-03-31,75274100000.0,49418100000.0,24205800000.0,BRITANNIA.NS,0.969938626324225,75.2741,49.4181,24.2058,1.5232091075941812,25856000000.0,0.3215687733230952,0.14349353552289154
2023-03-31,93527200000.0,57882200000.0,34243900000.0,BRITANNIA.NS,0.8509876155471993,93.5272,57.8822,34.2439,1.6158197165968122,35645000000.0,0.3661384067950286,0.16331600447922728
2024-03-31,90735600000.0,51075400000.0,33760700000.0,BRITANNIA.NS,0.5263527776086383,90.7356,51.0754,33.7607,1.7765029740344667,39660200000.0,0.37207777322241764,0.17341614786709464
2021-03-31,108471300000.0,31469100000.0,23202000000.0,DABUR.NS,0.0664263074588342,108.4713,31.4691,23.202,3.4469145924096973,77002200000.0,0.21389989794535513,0.18697575992789087
