Date,Total_Assets,Total_Liabilities,EBITDA,Operating_Margin_%,Date_x,Stock,Debt_Equity_Ratio,Date_y
2023-03-31,1436510000000.0,524450000000.0,627080000000.0,24.11846108809623,2023-03-31,TCS.NS,0.08502167566132886,2023-03-31
2024-03-31,1464490000000.0,551300000000.0,677600000000.0,24.66862881030167,2024-03-31,TCS.NS,0.0886406082507266,2024-03-31
2020-03-31,,,,,2020-03-31,INFY.NS,,2020-03-31
2021-03-31,14825000000.0,4323000000.0,4063000000.0,24.51884079345181,2021-03-31,INFY.NS,0.06971844474238652,2021-03-31
2022-03-31,15555000000.0,5561000000.0,4529000000.0,23.02127398688002,2022-03-31,INFY.NS,0.07262850819837038,2022-03-31
2023-03-31,15312000000.0,6088000000.0,4684000000.0,21.194816604436635,2023-03-31,INFY.NS,0.11011774967291757,2023-03-31
2024-03-31,16523000000.0,5918000000.0,4967000000.0,20.73591207843982,2024-03-31,INFY.NS,0.09489534993844113,2024-03-31
2020-03-31,,,,,2020-03-31,HCLTECH.NS,,2020-03-31
2021-03-31,861940000000.0,261120000000.0,208400000000.0,20.479178551055334,2021-03-31,HCLTECH.NS,0.10850733563667318,2021-03-31
2022-03-31,890330000000.0,270270000000.0,215960000000.0,18.918634925453294,2022-03-31,HCLTECH.NS,0.10244855767677746,2022-03-31
2023-03-31,934110000000.0,280130000000.0,239860000000.0,18.217749566314463,2023-03-31,HCLTECH.NS,0.07317483372830823,2023-03-31
2024-03-31,997770000000.0,315060000000.0,256930000000.0,18.220774612648185,2024-03-31,HCLTECH.NS,0.08432093520648082,2024-03-31
2020-03-31,,,,,2020-03-31,TECHM.NS,,2020-03-31
2021-03-31,396780000000.0,144335000000.0,75572000000.0,14.759702127322342,2021-03-31,TECHM.NS,0.11666197466318118,2021-03-31
2022-03-31,448707000000.0,174896000000.0,91136000000.0,14.699861129776465,2022-03-31,TECHM.NS,0.09739006237516598,2022-03-31
2023-03-31,461533000000.0,177586000000.0,84478000000.0,11.727484603172817,2023-03-31,TECHM.NS,0.098128883238733,2023-03-31
2024-03-31,434236000000.0,162768000000.0,50926000000.0,6.581723418372744,2024-03-31,TECHM.NS,0.09511650055869274,2024-03-31
2020-03-31,,,,,2020-03-31,WIPRO.NS,,2020-03-31
2021-03-31,831434000000.0,276841000000.0,170961000000.0,19.382012495358637,2021-03-31,WIPRO.NS,0.18896211319935996,2021-03-31
2022-03-31,1079182000000.0,420509000000.0,187511000000.0,17.18613689637821,2022-03-31,WIPRO.NS,0.2673051151851075,2022-03-31
2023-03-31,1175822000000.0,394069000000.0,191136000000.0,14.930332995902202,2023-03-31,WIPRO.NS,0.22359709356805998,2023-03-31
2024-03-31,1152459000000.0,401236000000.0,193833000000.0,14.89856874364279,2024-03-31,WIPRO.NS,0.2195662523353643,2024-03-31
2020-03-31,,,,,2020-03-31,LT.NS,,2020-03-31
2021-03-31,3112737100000.0,2233536500000.0,189538200000.0,11.616863138051745,2021-03-31,LT.NS,1.7554862338837987,2021-03-31
2022-03-31,3200672400000.0,2246935100000.0,204884200000.0,12.424195005333633,2022-03-31,LT.NS,1.5183338539160074,2022-03-31
2023-03-31,3303523100000.0,2267850900000.0,236709100000.0,10.735069669718534,2023-03-31,LT.NS,1.3506762592505313,2023-03-31
2024-03-31,3396272400000.0,2370775800000.0,277283200000.0,9.91762844550292,2024-03-31,LT.NS,1.3469574303803507,2024-03-31
2020-03-31,,,,,2020-03-31,ASIANPAINT.NS,,2020-03-31
2021-03-31,203696200000.0,71404700000.0,51872500000.0,18.915035111379808,2021-03-31,ASIANPAINT.NS,0.08534790325691516,2021-03-31
2022-03-31,229844500000.0,87853600000.0,50994900000.0,13.598778218707835,2022-03-31,ASIANPAINT.NS,0.11489216279696139,2022-03-31
2023-03-31,257980000000.0,93521100000.0,66913000000.0,15.953084602475636,2023-03-31,ASIANPAINT.NS,0.12084743653636798,2023-03-31
2024-03-31,299240900000.0,105004100000.0,84059400000.0,19.089192895578016,2024-03-31,ASIANPAINT.NS,0.13211984002819263,2024-03-31
2020-03-31,,,,,2020-03-31,JSWSTEEL.NS,,2020-03-31
2021-03-31,1471630000000.0,1021720000000.0,204920000000.0,19.72482353091892,2021-03-31,JSWSTEEL.NS,1.4624205218153914,2021-03-31
2022-03-31,1964850000000.0,1279500000000.0,400340000000.0,23.350645558267107,2022-03-31,JSWSTEEL.NS,1.0730195996849785,2022-03-31
2023-03-31,2110780000000.0,1440390000000.0,193890000000.0,8.041137577453771,2023-03-31,JSWSTEEL.NS,1.622726234873278,2023-03-31
2024-03-31,2281980000000.0,1484220000000.0,291830000000.0,11.875680812107445,2024-03-31,JSWSTEEL.NS,1.360195187269052,2024-03-31
2020-03-31,,,,,2020-03-31,ULTRACEMCO.NS,,2020-03-31
2021-03-31,861835100000.0,420031100000.0,120507100000.0,19.991419399886933,2021-03-31,ULTRACEMCO.NS,0.4690309018650503,2021-03-31
2022-03-31,838277900000.0,333955800000.0,119648400000.0,17.089880936840345,2022-03-31,ULTRACEMCO.NS,0.2041963887573121,2022-03-31
2023-03-31,913869600000.0,370067900000.0,110661900000.0,12.155023613356947,2023-03-31,ULTRACEMCO.NS,0.20354962968853488,2023-03-31
2024-03-31,1008020100000.0,405185900000.0,135273000000.0,13.849527421256095,2024-03-31,ULTRACEMCO.NS,0.1893313484143783,2024-03-31
2020-03-31,,,,,2020-03-31,PIDILITIND.NS,,2020-03-31
2021-03-31,88304200000.0,29974200000.0,17603800000.0,20.620004082240598,2021-03-31,PIDILITIND.NS,0.05918154251058474,2021-03-31
2022-03-31,95156200000.0,29130100000.0,18954700000.0,16.6539979372407,2022-03-31,PIDILITIND.NS,0.06493579503131779,2022-03-31
2023-03-31,105250200000.0,30791000000.0,20406200000.0,14.908667911317758,2023-03-31,PIDILITIND.NS,0.05415901767540916,2023-03-31
2024-03-31,121039500000.0,34869400000.0,27508400000.0,19.47569398568704,2024-03-31,PIDILITIND.NS,0.045493365179204395,2024-03-31
2020-03-31,,,,,2020-03-31,SHREECEM.NS,,2020-03-31
2021-03-31,215131700000.0,60646000000.0,45153800000.0,21.337847159772608,2021-03-31,SHREECEM.NS,0.14482175898414085,2021-03-31
2022-03-31,237488800000.0,62383100000.0,42503000000.0,17.476118225155446,2022-03-31,SHREECEM.NS,0.12194649799430479,2022-03-31
2023-03-31,263339400000.0,76569800000.0,34152900000.0,7.4251306114772975,2023-03-31,SHREECEM.NS,0.146201519606791,2023-03-31
2024-03-31,279534700000.0,72094300000.0,51114600000.0,12.893658363719076,2024-03-31,SHREECEM.NS,0.07996698050323336,2024-03-31
2020-03-31,,,,,2020-03-31,TATASTEEL.NS,,2020-03-31
2021-03-31,2454872100000.0,1679787600000.0,306951800000.0,11.381748932647566,2021-03-31,TATASTEEL.NS,1.1921184847216624,2021-03-31
2022-03-31,2854456000000.0,1683471400000.0,647979400000.0,21.801449422426824,2022-03-31,TATASTEEL.NS,0.6602529083463704,2022-03-31
